Emoji,Description
🤠🐴🌵🏜️🚂💰🚓,A cowboy with a horse in a desert witnesses a train robbery and then sees police coming.
👽🛸🌍👋🚀🌕,"An alien arrives on Earth, says hello, and then travels to the moon."
🐱🐟🎣🐶🍖,A cat goes fishing and a dog enjoys a bone.
🤖🔧🎓🔬📚,"A robot fixes itself, graduates, and starts researching."
🎅🎁🎄🦌🛷,Santa delivers gifts using his reindeer and sleigh.
🐉🏰👸🤴🗡️,A dragon attacks a castle; a prince saves the princess with a sword.
🎸🔥🎤🤘🎶,"Playing electric guitar, setting the stage on fire, singing, and rocking out."
🦈🌊🏄‍♀️🚁🏥,"A shark in the ocean, a surfer gets rescued by a helicopter and goes to the hospital."
🧙‍♂️🔮✨🐇🎩,"A wizard uses a crystal ball, casts a spell, and a rabbit appears from a hat."
🐼🎋🛫🗽📸,"A panda eats bamboo, takes a flight, and takes photos at the Statue of Liberty."
🦖🌋🌲🕰️🦕,"A T-Rex near a volcano, time passes, and it becomes a peaceful herbivore."
🕵️‍♀️🔍📦🔒🗝️,"A detective uses a magnifying glass, finds a locked box, and opens it with a key."
🧜‍♀️🐠🤴🏰💔,A mermaid with fish friends falls in love with a prince but ends up heartbroken.
🚀🌌🌠🛰️🌏,"A rocket travels through space, sees a shooting star, and orbits Earth."
🤓💻🐛🔨🎉,"A nerd on a computer finds a bug and fixes it, celebrating afterwards."
🌈🦄🍭🏰✨,"A rainbow appears, leading to a unicorn that takes you to a candy castle."
🏂❄️🌲🌞🍹,"Someone snowboarding in winter, then enjoying a summer cocktail."
🐒🍌🏢👔💼,"A monkey eats a banana, dresses up, and goes to work in an office."
👻🏚️🔦🙀😱,A ghost in a haunted house scares someone with a flashlight.
🦸‍♀️🦹‍♂️🏙️💥🏆,"A superhero fights a villain in a city, there's an explosion, and the hero wins an award."
🧛🦇🌕🐺🧄,A vampire with bats during a full moon is scared away by a wolf and garlic.
👩‍🌾🌽🚜🌦️🌾,"A farmer grows corn, uses a tractor, and harvests after some rain."
🎭🎟️🎬👏🌹,"Going to a theater, getting a ticket, watching a performance, clapping, and receiving a rose."
🍳🔥🍴🍛😋,"Cooking an egg on fire, setting the table, making a meal, and enjoying it."
👩‍🎨🎨🖼️📸🏆,"An artist paints, creates a masterpiece, photographs it, and wins an award."
👨‍🚒🔥🚒🚿👍,"A firefighter battles fire, uses a fire truck, puts out the fire with a hose, and everything is okay."
🎓📘🎒🚌🏫,"Graduation day, reading a book, packing a bag, taking the bus to school."
🍎🐍👸💤🤴,"An apple, a snake, a sleeping princess, and a prince."
🐢🏁🐇💤🏆,"A turtle and a rabbit in a race, the rabbit sleeps, and the turtle wins."
